start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
19,160,18:00 - 20:00,2,"[280.0, 62.0]",3.3,1.817,"['0ef61ea65d54721664dc103e4bacf30b68fac2904ca199f1458f897824e6d44e_1', '12333255b38b94d9498f59800463f94fe9b79463238811de57ebeb9e5d28673e_1']"
19,234,06:00 - 08:00,2,"[45.0, 962.0]",58.395,7.642,"['199f04960c625d82f9e9049b2116b116de15bdd2d3c3f9056a1bddbaa3d1576a_1', '6e05b5ba6c9f658e47094ea24d9e378ec6183ae893fbbac0a9d6f8817b1826c2_3']"
19,316,14:00 - 16:00,2,"[383.0, 789.0]",11.447,3.383,"['7ac4d201d2eb486f63000197dfb81ebb0018528a44d7bc5c86dd9c53812c545c_1', 'fa2b75f91b039820c20651b94eb3b245d67cfb7f1aaa2097955aea21d42f0a6e_1']"
20,73,14:00 - 16:00,4,"[158.0, 171.0, 440.0, 489.0]",6.339,2.518,"['4efcae95ebe1a17eb14788ff2f7d6ed8c7c52483eff19b242440b7a18e4007b0_1', '7487f4a9cd0e75afca0ba527bcb920846dd8a0042763a66573489cf3ec991c72_1', '8c1d8db422cfd98c2e5ae401d4c791d64617c12d00ec5d7ebee1f59b9e1eb26c_1', 'b86c7afd25cc80c3b19a93a4b82f00bd131245ae0f20eaff24719a30be1588d4_3']"
20,209,12:00 - 14:00,2,"[429.0, 267.0]",1.822,1.35,"['127924c79ac5e5e03143ceb2184fb997a86e4fbc2befcc6f23b0b9f00b3e1e62_1', '149081d69cf3a6480784b36da4eabc7428c5c71bf5eb4681c0d9e102bba64497_3']"
20,209,14:00 - 16:00,2,"[369.0, 442.0]",0.37,0.608,"['8d99e0f4fe75543c10d14e8d14bf3c4ab91dd24f004e4baf82d0546a74628fd6_1', 'b71a6b4157e5dc54cdefcca4b787ee8b17b714fe30166833b20efef3c1901839_1']"
20,209,16:00 - 18:00,4,"[371.0, 698.0, 286.0, 95.0]",13.197,3.633,"['5d4f08aba1dfbe20e5524195d2044fa5147f475b8dba3ea0d4d184df6b689ea3_1', '94ff47524b4ef35a39d2a99d830eba9c354cfd61bc4b4f7ae1e7ddffe48f65c4_1', 'b3721b12b82de15b7105bff08bda7f7783d93e321d2eaf123f2dc27fb4386b2c_1', 'f97757059140e34614070d5b1235b4ac6105623aeafabd74a6a13fd51171516e_1']"
20,209,20:00 - 22:00,2,"[155.0, 125.0]",0.062,0.25,"['7e75382f38470354e414e8dca66686c9243ad784ee704480f95c939858d1506b_1', 'ea308be6e1ee3500b7701431f0e99147a5f278ef771098c926076cc6186949c5_1']"
20,243,06:00 - 08:00,2,"[236.0, 125.0]",0.856,0.925,"['7cc5f7ba876be3c2c3fb42002ddcd233f596746805b6b396babdbb1da4f15622_1', '8678b118bb8a86ba7efc3bf98df14df6a89c40cc4af129f512df55a73470198e_1']"
20,243,16:00 - 18:00,2,"[205.0, 245.0]",0.111,0.333,"['941dcfcb01cc31a8ba7c800a53104d140016c6c841b9a16a38d09d3b29417ef5_1', 'dedba15b35a52caaac801b8b4abb26f2dfc4e430ffa81ce021aa52864012d081_1']"
20,283,14:00 - 16:00,2,"[417.0, 187.0]",3.674,1.917,"['1956f037af9f7907423cf23eacf1cf6071f0e3d19b97f2532f2dff2f2fb47f15_3', '4b8e833a6308bc03aa2fa5c7a5a298d7ac005f575e35a167fb2cd628843aa8f1_3']"
20,283,16:00 - 18:00,2,"[486.0, 615.0]",1.156,1.075,"['47a410e90b79cec4379cdfe65acbd6d79ea16d2cac79c915d28e9bcddf0f02eb_3', '5418df539a4b578529e6a790ce099b18b33462d3d6f3917fff171e7d862b4c5e_3']"
26,150,16:00 - 18:00,2,"[537.0, 476.0]",0.258,0.508,"['6c9d4bf81ed48e5c827a91438de26e834170f5874044204a248660d6019422ad_1', '7a9f4e9f7e19210ee82daecbd7a87ebc13ab8141b261507bf53609b8895ee5dd_1']"
26,156,14:00 - 16:00,3,"[10.0, 195.0, 437.0]",8.491,2.914,"['16cc20d97b6fbe34a54b864d67567729bd8328c1b3a44d674450499cdf92b93b_1', 'ac0e731008212e25a3ba99778726ccfc9f2d118432bfe89d22206c278d1366d4_1', 'c9c1cbb30fd98f402e122f0a23d564f02818aa34baabe42a2e09fa2301907ba1_1']"
26,280,16:00 - 18:00,2,"[169.0, 866.0]",33.737,5.808,"['75a209f3797a52fd6cc2239733d84dbef090dc97f9eff6c23f331c5a0595e5cb_1', 'd29499d35da530a54c8a2d908c6b8296216d4a518769d069a26701e81e4a9edf_1']"
